rank,pool,project,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
68,USDC / Dolomite Balance,Dolomite,"$828,423",828423,6.13,6.13,6.13,3.9
69,USDC / MainMarket,Current,$2.82m,2820000,6.04,0.89,5.15,6.02
70,AUSD / syzUSD/AUSD,Curvance,"$621,705",621705,6,6,5.95,89.9
71,GHO,Fluid Lending,$3.55m,3550000,5.97,3.04,6.27,64
72,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,$3.76m,3760000,5.92,6.94,6.94,70.5
73,GTUSDCC,Morpho V1,$1.19m,1190000,5.89,5.89,6.11,92
74,USDC,Wasabi Perps,$1.29m,1290000,5.69,5.69,5.69,5.59
75,USDC,Fluid Lending,$10.76m,10760000,5.66,3.56,6.55,29.2
76,USDC,Extra Finance Leverage Farming,$4.03m,4030000.0000000005,5.65,5.65,5.07,100
77,AUSD / vUSD/AUSD,Curvance,"$558,137",558137,5.55,5.55,5.41,100
78,DLLR,Sovryn Dex,"$543,890",543890,5.53,5.53,5.53,5.27
79,USDC,Harmonix Finance,"$863,260",863260,5.43,5.43,5.43,5.22
80,USDAI / For buying PT-USDai-18JUN2026,Pendle,$35.9m,35900000,5.42,5.42,5.18,99.5
81,USDC,Fluid Lending,$32.93m,32930000,5.41,4.41,6.02,47.7
82,USDC-ALUSD / stable - 0.05%,Velodrome V2,$1.66m,1660000,5.39,5.39,5.69,100
83,USDC,DeltaPrime,"$734,490",734490,5.35,5.35,6.52,69.1
84,USDM,Liqwid,$1.44m,1440000,5.34,5.34,5.34,5.28
85,CSUSDC,Morpho V1,$4.34m,4340000,5.34,5.34,7.37,47
86,USDT,ZEROBASE CeDeFi,$8.11m,8109999.999999999,5.3,3.3,5.3,98.9
87,USDC,Wasabi Perps,$4.57m,4570000,5.23,5.23,5.23,4.52
88,USDC-SCRVUSD / Curve,Stake DAO,"$653,616",653616,5.2,1.94,5.47,98.6
89,USDG,Kamino Lend,$3.2m,3200000,5.15,5.15,5.15,4.54
90,GTUSDCF,Morpho V1,"$610,324",610324,5.13,5.13,4.71,88
91,USDC,Loopscale,$2.13m,2130000,5.12,5.12,5.12,5.07
92,FEUSDT02,Morpho V1,$2.1m,2100000,4.99,4.99,5.45,54
93,NTBILL,Nest Credit,"$669,773",669773,4.96,4.96,4.96,3.37
94,BBQUSDC,Morpho V1,$19.81m,19810000,4.93,4.93,4.89,63.9
95,EDGEUSDC,Morpho V1,$1.03m,1030000,4.93,4.93,4.9,91.2
96,USDC,Gains Network,$8.63m,8630000,4.89,4.89,6.33,60.7
97,GTUSDCC,Morpho V1,$2.77m,2770000,4.88,4.88,5.66,92.3
98,FEUSDC,Morpho V1,$31.66m,31660000,4.87,4.87,5.38,71
99,BBQUSDC,Morpho V1,$4.47m,4470000,4.84,4.84,4.89,87.2
100,USDC / SuperchargerV2,WOOFi Earn,"$739,591",739591,4.82,4.82,4.87,94.4
